24.81, 1080
24.36, 1260
24.13, 1080
23.98, 60
23.76, 0
23.76, 0
23.61, 0
23.61, 0
23.61, 0
23.61, 0
23.61, 0
23.68, 0
23.76, 0
23.83, 0
23.98, 0
24.13, 0
24.36, 0
24.58, 0
24.74, 0
24.96, 0
25.11, 0
25.19, 120
25.19, 420
25.42, 480
24.89, 600
24.66, 720
24.51, 240
24.21, 0
24.28, 0
24.28, 0
24.13, 0
24.21, 0
24.21, 0
24.21, 0
24.28, 0
24.43, 0
24.58, 0
24.66, 0
24.81, 0
24.96, 0
25.11, 0
25.26, 0
25.34, 120
25.42, 420
25.19, 480
25.11, 600
24.81, 600
24.74, 60
24.58, 0
24.51, 0
24.51, 0
24.51, 0
24.43, 0
24.51, 0
24.51, 0
24.66, 0
24.81, 0
25.04, 0
25.26, 0
25.42, 0
24.74, 120
25.57, 360
25.34, 0
25.26, 300
25.11, 480
24.89, 480
24.81, 60
24.66, 0
24.66, 0
24.58, 0
24.66, 0
24.66, 0
24.74, 0
24.89, 0
25.04, 0
25.11, 0
25.42, 0
25.64, 120
25.42, 420
25.34, 600
24.43, 720
24.81, 180
24.81, 0
24.58, 0
24.58, 0
24.51, 0
24.36, 0
24.43, 0
24.43, 0
24.51, 0
24.58, 0
24.66, 0
24.89, 0
25.04, 0
25.19, 0
25.34, 0
25.42, 120
25.26, 360
25.19, 420
25.11, 360
25.04, 0
24.96, 0
24.96, 0
24.96, 0
24.96, 0
25.04, 0
25.11, 0
25.34, 0
25.49, 120
25.34, 420
25.34, 480
25.11, 540
24.89, 480
24.81, 60
24.81, 0
24.74, 0
24.66, 0
24.58, 0
24.66, 0
24.74, 0
24.89, 0
25.04, 0
25.19, 0
25.34, 0
25.42, 120
25.26, 360
25.11, 420
25.04, 360
24.96, 0
24.89, 0
24.89, 0
24.81, 0
24.89, 0
24.96, 0
25.26, 0
25.26, 0
25.34, 120
25.19, 360
28.64, 360
30.86, 420
31.91, 840
32.90, 1200
32.73, 1440
33.56, 1560
33.65, 1620
33.40, 1680
33.56, 1680
33.90, 1680
33.90, 1680
33.40, 1740
30.70, 1740
29.59, 1740
28.41, 1740
27.56, 1740
26.71, 1740
26.10, 1740
25.57, 1740
25.04, 1740
24.66, 1740
24.13, 1740
24.06, 1800
23.83, 1740
23.46, 1740
23.38, 1680
23.08, 1500
23.01, 1200
23.01, 180
22.86, 0
22.93, 0
22.93, 0
22.93, 0
23.01, 0
23.01, 0
23.23, 0
23.16, 0
23.31, 0
23.46, 0
23.53, 0
23.76, 0
23.98, 180
23.53, 360
23.91, 420
23.98, 360
24.74, 360
23.98, 540
23.98, 840
23.83, 1020
23.68, 840
23.68, 120
23.61, 0
23.53, 0
23.68, 0
23.61, 0
23.61, 0
23.68, 0
23.83, 0
23.91, 0
24.06, 0
24.13, 0
24.36, 120
24.36, 360
24.28, 420
24.36, 540
24.21, 540
24.13, 540
24.13, 480
24.13, 0
24.13, 0
24.13, 0
24.21, 0
24.36, 0
24.36, 180
24.43, 240
24.51, 300
24.58, 360
24.58, 420
24.51, 480
24.43, 600
24.36, 540
24.21, 480
24.21, 0
24.21, 0
24.13, 0
24.21, 0
24.28, 0
24.36, 0
24.51, 0
24.66, 0
24.81, 120
24.89, 420
24.81, 540
24.66, 720
24.51, 720
24.43, 660
24.21, 60
24.28, 0
24.28, 0
24.28, 0
24.28, 0
24.21, 0
24.36, 0
24.43, 0
24.58, 0
24.74, 0
24.96, 120
24.96, 360
24.89, 480
24.74, 600
24.66, 600
24.58, 540
24.51, 60
24.51, 0
24.43, 0
24.51, 0
24.43, 0
24.51, 0
24.58, 0
24.74, 0
24.89, 0
25.11, 180
25.04, 420
25.26, 540
24.89, 720
24.74, 780
24.43, 780
24.36, 60
24.28, 0
24.21, 0
24.21, 0
24.13, 0
24.21, 0
24.13, 0
24.36, 0
24.43, 0
24.51, 0
24.74, 0
24.96, 0
25.11, 0
25.26, 120
25.19, 420
25.11, 540
24.96, 660
24.74, 660
24.74, 540
24.58, 0
24.58, 0
24.58, 0
24.58, 0
24.58, 0
24.66, 0
24.74, 0
24.81, 0
25.04, 0
25.19, 0
25.34, 120
24.21, 420
25.26, 180
25.11, 0
25.04, 360
24.74, 480
24.89, 60
24.81, 0
24.74, 0
24.74, 0
24.74, 0
24.74, 0
24.81, 0
24.96, 0
25.11, 0
25.19, 120
25.19, 360
25.11, 420
24.81, 480
24.89, 420
24.81, 0
24.81, 0
24.81, 0
24.74, 0
24.89, 0
